BakePanel.label,Bake,焼く,베이크(Bake)
BakePanel.versionTooOld,Only for Blender 4.0.1+,,Blender 4.0.1 버전 이상에서만 호환
BakePanel.start_1,"To get started, press 'Autodetect All' above.",,
BakePanel.start_2,"Then if the settings look right, press 'Copy and Bake'".,,
BakePanel.panel_render_error,"ERROR! Panel is unable to render!",,
BakePanel.feature_set_unavailable,"This feature set is unavaliable with the current platform selection.",,
BakePanel.autodetectlabel,Autodetect:,,자동감지:
BakePanel.generaloptions.label,General options:,,일반 옵션:
BakePanel.gmod_options.label,"Gmod Options:",,
BakePanel.platforms.label,"Platforms:",,
BakePanel.warn_auto_tile_size,"Enabling ""Auto Tile Size"" option recommended!",,
BakePanel.noheadfound,"No ""Head"" bone found!",,"""Head"" 본 발견되지 않음!"
BakePanel.overlapfix.label,Overlap fix:,,중복 수정:
BakePanel.bakepasses.label,Bake passes:,,베이크 패스:
BakePanel.bakepasses.desc,"The different PBR effects to generate from the source material.",,
BakePanel.generaloptions.desc,"General options that apply to all platforms regardless of target.",,
BakePanel.material_groupings.label,"Material Groupings",,
BakePanel.material_grouping.label,"Image Group",,
BakePanel.alpha.label,Alpha:,,
BakePanel.transparencywarning,Transparency isn't currently selected!,,현재 투명도가 선택되지 않았습니다!
BakePanel.smoothnesswarning,Smoothness isn't currently selected!,,현재 부드러움이 선택되지 않았습니다!
BakePanel.doublepackwarning,Smoothness packed in two places!,,두군데에 부드러움이 설정되었습니다!
Scene.bake_resolution.label,Resolution,,해상도
Scene.bake_resolution.desc,"Output resolution for the textures.
- 2048 is typical for desktop use.
- 1024 is reccomended for the Quest",,"테스쳐들의 결과 해상도.
- 2048 데스크탑 용
- 1024 퀘스트 용"
Scene.bake_use_decimation.label,Decimate,,버텍스 줄이기(Decimate)
Scene.bake_use_decimation.desc,"Reduce polycount before baking, then use Normal maps to restore detail",,베이킹하기 전에 폴리 카운트를 줄인 다음 노멀 맵을 사용하여 디테일을 복원합니다.
Scene.bake_generate_uvmap.label,Generate UVMap,,UV 맵 생성
Scene.bake_generate_uvmap.desc,"Re-pack islands for your mesh to a new non-overlapping UVMap.
Only disable if your UVs are non-overlapping already.
This will leave any map named ""Detail Map"" alone.
Uses UVPackMaster where available for more efficient UVs, make sure the window is showing",,
Scene.bake_uv_overlap_correction.label,Overlap correction,,중복 보정
Scene.bake_uv_overlap_correction.desc,Method used to prevent overlaps in UVMap,,
Scene.bake_prioritize_face.label,Prioritize Eyes,,머리 / 눈 우선 순위 지정
Scene.bake_prioritize_face.desc,Scale any UV islands attached to the head/eyes by a given factor.,,
Scene.bake_face_scale.label,Eyes Scale,,머리 / 눈 스케일
Scene.bake_face_scale.desc,How much to scale up the face/eyes portion of the textures.,,
Scene.bake_quick_compare.label,Quick compare,,빠른 비교
Scene.bake_quick_compare.desc,Move output avatar next to existing one to quickly compare,,
Scene.bake_illuminate_eyes.label,Set eyes to full brightness,,눈을 최대 밝기로 설정
Scene.bake_illuminate_eyes.desc,"Relight LeftEye and RightEye to be full brightness.
Without this, the eyes will have the shadow of the surrounding socket baked in,
which doesn't animate well",,
Scene.bake_pass_smoothness.label,Smoothness,,부드러움
Scene.bake_pass_smoothness.desc,"Bakes Roughness and then inverts the values.
To use this, it needs to be packed to the Alpha channel of either Diffuse or Metallic.
Not neccesary if your mesh has a global roughness value",,
Scene.bake_pass_diffuse.label,Diffuse (Color),,확산 (색상)
Scene.bake_pass_diffuse.desc,"Bakes diffuse, un-lighted color. Usually you will want this.
While baking, this temporarily links ""Metallic"" to ""Anisotropic Rotation"" as metallic can cause issues.",,
Scene.bake_preserve_seams.label,Preserve seams,,이음새 유지
Scene.bake_preserve_seams.desc,"Forces the Decimate operation to preserve vertices making up seams, preventing hard edges along seams.
May result in less ideal geometry.
Use if you notice ugly edges along your texture seams.",,
Scene.bake_pass_normal.label,Normal (Bump),,노말 (범프)
Scene.bake_pass_normal.desc,"Bakes a normal (bump) map. Allows you to keep the shading of a complex object with
the geometry of a simple object. If you have selected 'Decimate', it will create a map
that makes the low res output look like the high res input.
Will not work well if you have self-intersecting islands",,
Scene.bake_pass_ao.label,Ambient Occlusion,,
Scene.bake_pass_ao.desc,"Bakes Ambient Occlusion, non-projected shadows. Adds a significant amount of detail to your model.
Reccomended for non-toon style avatars.
Takes a fairly long time to bake",,
Scene.bake_pass_displacement.label,Displacement (Height),,
Scene.bake_pass_displacement.desc,"Bakes a normalized Displacement map, according to the material displacement in Blender.
Can add real 3d surface detail to models.
Results are in Linear space, so make sure uncheck Color Texture in Unity.",,
Scene.bake_pass_questdiffuse.label,Quest Diffuse (Color+AO),,
Scene.bake_pass_questdiffuse.desc,Blends the result of the Diffuse and AO bakes to make Quest-compatible shading.,,
Scene.bake_pass_emit.label,Emit,,
Scene.bake_pass_emit.desc,"Bakes Emit, glowyness",,
Scene.bake_diffuse_alpha_pack.label,Alpha Channel,,
Scene.bake_diffuse_alpha_pack.desc,What to pack to the Diffuse Alpha channel,,
Scene.bake_metallic_alpha_pack.label,Metallic Alpha Channel,,
Scene.bake_metallic_alpha_pack.desc,What to pack to the Metallic Alpha channel,,
Scene.bake_pass_alpha.label,Transparency,,
Scene.bake_pass_alpha.desc,"Bakes transparency by connecting the last Principled BSDF Alpha input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary
Unused if you are baking to Quest",,
Scene.bake_pass_metallic.label,Metallic,,
Scene.bake_pass_metallic.desc,"Bakes metallic by connecting the last Principled BSDF Metallic input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary",,
Scene.bake_questdiffuse_opacity.label,AO Opacity,,
Scene.bake_questdiffuse_opacity.desc,"The opacity of the shadows to blend onto the Diffuse map.
This should match the unity slider for AO on the Desktop version.",,
Scene.bake_uv_overlap_correction.none.label,Rearrange,,
Scene.bake_uv_overlap_correction.none.desc,Leave islands as they are. Use if islands don't self-intersect at all,,
Scene.bake_uv_overlap_correction.unmirror.label,Unmirror,,
Scene.bake_uv_overlap_correction.unmirror.desc,Move all face islands with positive X values over one to un-pin mirrored UVs. Solves most UV pinning issues.,,
Scene.bake_uv_overlap_correction.reproject.label,Reproject,,
Scene.bake_uv_overlap_correction.reproject.desc,Use blender's Smart UV Project to come up with an entirely new island layout. Tends to reduce quality.,,
Scene.bake_diffuse_alpha_pack.none.label,None,,
Scene.bake_diffuse_alpha_pack.none.desc,No alpha channel,,
Scene.bake_diffuse_alpha_pack.transparency.label,Transparency,,
Scene.bake_diffuse_alpha_pack.transparency.desc,Pack Transparency,,
Scene.bake_diffuse_alpha_pack.smoothness.label,Smoothness,,
Scene.bake_diffuse_alpha_pack.smoothness.desc,Pack Smoothness. Most efficient if you don't have transparency or metallic textures.,,
Scene.bake_metallic_alpha_pack.none.label,None,,
Scene.bake_metallic_alpha_pack.none.desc,No alpha channel,,
Scene.bake_metallic_alpha_pack.smoothness.label,Smoothness,,
Scene.bake_metallic_alpha_pack.smoothness.desc,Pack Smoothness. Use this if your Diffuse alpha channel is already populated with Transparency,,
Scene.draft_quality_desc,"Reduce the number of samples and cap resolution at 1024, speeds up iteration",,

